,consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,click_action_2.rt,resp4.rt,resp4_3.keys,resp4_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_36.keys,key_resp_36.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_reval_choice_2.keys,transition_reval_choice_2.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
20,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,3.137,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,7.0,7.0,7.0,1.0,planet.png,unicorn.png,window.png,9.0,8.0,6.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,3.541,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,0.0,8.0,8.0,8.0,1.0,planet.png,tree.png,north.png,9.0,2.0,5.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.37,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,9.0,9.0,9.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,3.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.634,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,10.0,10.0,10.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,4.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.181,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,11.0,11.0,11.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,3.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.152,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,12.0,12.0,12.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,1.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.686,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,13.0,13.0,13.0,1.0,trident.png,tree.png,snorkel.png,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.169,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,14.0,14.0,14.0,1.0,trident.png,bell.png,tophat.png,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.588,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,15.0,15.0,15.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,3.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.123,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,16.0,16.0,16.0,1.0,trident.png,bell.png,tophat.png,1.0,8.0,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.48,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,17.0,17.0,17.0,1.0,planet.png,bell.png,tophat.png,9.0,8.0,4.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.647,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,18.0,18.0,18.0,1.0,planet.png,bell.png,tophat.png,9.0,8.0,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.067,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,0.0,19.0,19.0,19.0,1.0,trident.png,fox.png,apple.png,1.0,8.0,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,Louise,1,2023-06-22_15h52.12.465,study5_pr_2,2022.2.5,MacIntel,29.41176471,647c948b332d16c3579c4c9c,64944c9a5850536c27178b39,649451b84d22016665f2da2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.903,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
