consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_24.rt,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,20.9461,y,6.7533,1,2.1435,0,0,0,0,1,planet.png,planet.png,basket.png,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,3.0395,0,1,1,1,1,planet.png,planet.png,basket.png,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,a,1,7.2395,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,space,22.2971,space,30.7692,a,9.3961,c,43.2368,b,42.1612,b,21.2597,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.3456,y,1.8937,1,1.7865,0,0,0,0,1,planet.png,planet.png,basket.png,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.3013,0,1,1,1,1,planet.png,planet.png,basket.png,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,a,1,1.4862,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,space,35.3612,space,17.9085,c,11.5229,c,37.7251,b,14.438,b,12.5255,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,space,22.0018,6,1,2.4023,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-12-08_14h47.51.313,study3,2021.1.3,MacIntel,59.99880002,60fd310fff5b2600c9d95554,639196b66de4c8b2f2d051a0,6391f90a3a5ef3a7f51a598d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
